"fpkm.long","genes","age"
0.575078291104899,"Dnah7b","P7"
26.2777811068407,"Slc39a10","P7"
2.94555283802559,"Tmeff2","P7"
2.90590004441548,"Sdpr","P7"
1.21136921330202,"Nabp1","P7"
15.4358148230827,"Myo1b","P7"
0.138659245947862,"Stat4","P7"
4.46387513724683,"Stat1","P7"
11.0303955772307,"Gls","P7"
7.08801858847733,"Nab1","P7"
3.20792149383141,"Tmem194b","P7"
3.73036589459988,"Mfsd6","P7"
9.48453991022038,"Inpp1","P7"
10.2907106065711,"Hibch","P7"
1.84548430194291,"1700019D03Rik","P7"
2.82743120778096,"Pms1","P7"
7.44054492172408,"Ormdl1","P7"
5.20503695319404,"Osgepl1","P7"
11.7347620195957,"Asnsd1","P7"
0.190834804718696,"Dnah7a","P7"
17.3922436920599,"Stk17b","P7"
1.1382504733538,"Hecw2","P7"
3.70760805409795,"Gtf3c3","P7"
5.71923527632111,"Pgap1","P7"
2.60822043217512,"Ankrd44","P7"
59.1317342648604,"Sf3b1","P7"
7.4452285092338,"Coq10b","P7"
25.8493736617248,"Hspd1","P7"
27.2444597420502,"Hspe1","P7"
23.2522122814503,"Mob4","P7"
40.4607823585101,"Rftn2","P7"
6.62772568675675,"Mars2","P7"
4.39628293758934,"Plcl1","P7"
5.79066989399439,"Satb2","P7"
1.15600899430363,"9130024F11Rik","P7"
0.0896473462047143,"BC055402","P7"
0.473286577557866,"4930558J18Rik","P7"
9.22298931197318,"1700066M21Rik","P7"
8.94924386840706,"Tyw5","P7"
11.0742905046168,"9430016H08Rik","P7"
5.21762880823537,"Spats2l","P7"
5.25613350352047,"Kctd18","P7"
3.56243694483372,"Sgol2a","P7"
1.29912374673373,"Aox1","P7"
0.11577625337774,"Aox3","P7"
0.428688543348632,"Aox4","P7"
49.7685006187499,"Bzw1","P7"
60.4689527396639,"Clk1","P7"
9.7803768769781,"Ppil3","P7"
11.1065247268525,"Nif3l1","P7"
10.8874304751453,"Orc2","P7"
3.00227371604408,"Fam126b","P7"
15.3501023810543,"Ndufb3","P7"
1.257277253865,"Gm20257","P7"
4.70842974056169,"Cflar","P7"
4.22739144714,"Casp8","P7"
21.6305236564676,"Trak2","P7"
16.548622958679,"Stradb","P7"
13.7049784698334,"Tmem237","P7"
0.0809437552277394,"Mpp4","P7"
6.85780923854783,"Als2","P7"
5.4508186935798,"Fzd7","P7"
4.34990588413986,"Gm973","P7"
31.6889372999502,"Sumo1","P7"
29.97455186545,"Nop58","P7"
23.2021787738928,"Bmpr2","P7"
7.90536922096564,"Fam117b","P7"
3.23557664995428,"Ica1l","P7"
2.26632118912086,"Wdr12","P7"
2.81918117641985,"Carf","P7"
2.72121976559974,"Nbeal1","P7"
28.0575186432311,"Cyp20a1","P7"
29.4799933850547,"Abi2","P7"
6.01879698169524,"Raph1","P7"
0.1009730237977,"Cd28","P7"
0.0752642117893516,"Icos","P7"
2.97533034787768,"Pard3b","P7"
3.93403883856295,"Nrp2","P7"
5.39632293743816,"Ino80d","P7"
4.40875572069173,"Ino80dos","P7"
35.2680949234459,"Ndufs1","P7"
95.9363621191071,"Eef1b2","P7"
1.31893113587259,"Zdbf2","P7"
5.93139554934932,"Adam23","P7"
0.16755425848666,"Mdh1b","P7"
5.10900958602041,"Fastkd2","P7"
0.410853098123509,"4933402D24Rik","P7"
27.5818143806074,"Klf7","P7"
8.49488236663944,"Creb1","P7"
4.36506390805638,"Mettl21a","P7"
0.836052268000348,"2810408I11Rik","P7"
5.86016207028731,"Ccnyl1","P7"
1.00648863808812,"Fzd5","P7"
1.8228726236393,"Plekhm3","P7"
0.422481050373117,"D630023F18Rik","P7"
115.003675398487,"Idh1","P7"
