X,P7FPKM,P14FPKM,P21FPKM,P150FPKM
Zbtb1,6.8320862590839,5.05320579891674,4.52365310874179,3.58977155374254
Hspa2,12.6116120240965,23.398622576145,20.0635569802383,22.0325405565268
Ppp1r36,1.10077667328797,0.819759324809179,1.03997278725686,1.1433120333055
Plekhg3,1.39393635594051,3.77528894381462,4.55071352246511,5.07381776493179
Sptb,4.14984512640292,16.9950022060997,20.6062496246548,19.1262828996218
Churc1,25.7981173350714,32.3245514383321,35.8534794236056,33.3848741399291
Rab15,17.7367036074856,112.389335224263,170.681380304505,109.479079193974
Fntb,10.6702310980933,11.9765533177354,10.5146723585277,8.35776722456583
Max,25.148197274045,26.6713781277533,28.7659206629916,31.6054946740704
Fut8,29.8234420456191,22.8540001339723,21.6618447965557,23.1468406071377
Gphn,17.0731886530734,17.0808187011356,17.546577125398,18.6755460847526
Fam71d,0.0631909212236341,0.233081496323744,0.385411732375536,0.533458445719732
Mpp5,13.2096111746046,10.4928306503978,10.2904819836194,12.4179892203696
Atp6v1d,42.2868519436152,54.2035493478718,68.6860603343041,74.6791437611217
Eif2s1,9.55216899167283,6.12070851509242,4.93779913030711,4.57479386032869
Tmem229b,13.0977196635371,17.9886903362885,10.2005050579506,4.09225178978136
Plekhh1,1.44125338528558,3.22872612010891,5.01591685307535,6.56295270988566
Pigh,4.63749610157872,3.78249575128979,3.0789000471835,3.87114467428123
Arg2,0.970801777651507,1.16989587152683,1.50054904326247,1.47846772424205
Vti1b,42.5085616832883,80.2319882960963,142.861963266519,154.292676422482
Rdh11,34.8954429705763,20.9637064463925,18.074753929604,22.9040248318465
Rdh12,0.341127836848126,0.37834428602845,0.423819322194659,1.14964834607146
Zfyve26,3.56370676466057,3.28876037632221,3.10489623625263,3.51020333660695
Rad51b,0.814245445131284,0.273116347385546,0.231423700591358,0.0950358757187119
Zfp36l1,92.5271436733569,45.2215622090237,49.4549346769906,47.6266904220406
2310015A10Rik,4.63713595472286,4.31566702604049,4.26156996474123,5.19477143313227
Actn1,16.2778872009448,15.3460272239716,11.3463158496394,11.5620156182654
Dcaf5,12.1307274082797,17.4434706431311,22.0783197615275,18.8997857056634
Exd2,13.0826324241634,19.6040693473586,22.8207869991169,24.5888383292728
2310002D06Rik,1.37033441719678,1.39175896996117,2.14317095024525,2.26380618481276
Galnt16,23.7571319443219,17.0125863201353,19.1559488400978,30.0285960950059
Erh,43.8799856718174,26.3086762390733,19.4896164180137,16.375393590469
Slc39a9,14.5972942477267,12.8681278592391,10.6912520562747,10.4215696699244
Plekhd1,0.478475521825755,0.783641070424652,1.13914559043716,1.57466565856785
Ccdc177,2.06479453125964,3.22717728938344,4.03992823622687,4.64191572746075
Susd6,12.1712405819521,13.0891974734488,11.4197149531118,11.1998980184646
Gm20337,0.553385036998493,0.78250964549074,0.629826431107297,0.562122386470401
Srsf5,113.397635817779,93.5623388277945,63.0012919889763,92.2695435037989
Slc10a1,0.354345475616004,0.16418013752092,0.336767707582972,0.440455994866889
Smoc1,29.1306426471901,7.66251629449029,4.83968870999474,5.15423383550444
Slc8a3,2.16453734504258,2.77339194901307,2.43545471529602,2.91581656935193
Cox16,2.75151640838047,1.84623319942126,1.84417606621802,1.94292185063619
